,geo_value,time_value,value,sample_size,trend
574,ar,2021-01-07,66.9234,3418.6947,54
575,az,2021-01-07,73.5027,6613.9856,34
576,ca,2021-01-07,78.8808,29633.2663,27
577,co,2021-01-07,78.6543,5754.105,51
578,ct,2021-01-07,81.4364,4726.0,28
579,dc,2021-01-07,89.6739,459.0,38
580,de,2021-01-07,75.9143,1421.0073,20
581,fl,2021-01-07,70.6215,19903.0017,68
582,ga,2021-01-07,64.1976,7457.9123,51
583,hi,2021-01-07,74.9127,1145.0,15
584,ia,2021-01-07,75.1414,4211.2019,23
585,id,2021-01-07,68.0802,2194.7972,18
586,il,2021-01-07,75.1762,13182.0219,25
587,in,2021-01-07,68.6815,7121.0007,51
588,ks,2021-01-07,72.3501,3446.9856,33
589,ky,2021-01-07,68.9162,4682.9537,33
590,la,2021-01-07,63.4666,4824.3664,34
591,ma,2021-01-07,82.3068,6185.0165,7
592,md,2021-01-07,79.3907,5037.9893,29
593,me,2021-01-07,77.0636,2325.0,18
594,mi,2021-01-07,73.1666,12489.0431,98
595,mn,2021-01-07,79.3503,4988.1977,29
596,mo,2021-01-07,69.3563,5816.0634,25
597,ms,2021-01-07,60.3594,3149.9478,27
598,mt,2021-01-07,69.5507,1583.2744,45
599,nc,2021-01-07,70.2562,11667.0109,47
600,nd,2021-01-07,69.7895,768.6284,35
601,ne,2021-01-07,76.2789,2177.6788,35
602,nh,2021-01-07,79.416,2105.0,20
603,nj,2021-01-07,77.0416,7039.9977,22
604,nm,2021-01-07,75.9859,2144.5458,35
605,nv,2021-01-07,72.6329,2452.5875,28
606,ny,2021-01-07,75.5967,15962.0022,20
607,oh,2021-01-07,68.9157,12901.0074,34
608,ok,2021-01-07,68.202,4927.1951,58
609,or,2021-01-07,76.3965,4805.0657,12
610,pa,2021-01-07,72.6332,13963.0087,24
611,ri,2021-01-07,79.6806,1344.9835,15
612,sc,2021-01-07,65.7577,6875.0048,29
613,sd,2021-01-07,71.6041,1139.5498,39
614,tn,2021-01-07,67.5543,7393.0488,60
615,tx,2021-01-07,70.6361,22696.9076,52
616,us,2021-01-07,73.0722,319121.1762,47
617,ut,2021-01-07,74.9129,3221.7921,42
618,va,2021-01-07,75.1506,9103.9778,36
619,vt,2021-01-07,83.2868,1073.0015,22
620,wa,2021-01-07,80.3893,8036.5701,23
621,wi,2021-01-07,75.7701,6067.9515,35
622,wv,2021-01-07,68.0056,2904.2081,38
623,wy,2021-01-07,61.6061,737.5066,43
624,ak,2021-01-08,68.7713,878.0,58
625,al,2021-01-08,62.8987,4860.1122,41
626,ar,2021-01-08,66.9413,3317.6805,54
627,az,2021-01-08,73.3767,6633.9239,41
628,ca,2021-01-08,78.8158,29329.8936,35
629,co,2021-01-08,78.3581,5495.0075,58
630,ct,2021-01-08,81.4311,4590.0,29
631,dc,2021-01-08,89.7028,470.0,38
632,de,2021-01-08,76.1579,1381.0073,30
633,fl,2021-01-08,70.555,19532.0017,73
634,ga,2021-01-08,64.0057,7320.9181,66
635,hi,2021-01-08,74.6569,1165.0,45
636,ia,2021-01-08,74.9247,4067.0793,23
637,id,2021-01-08,67.4958,2153.0496,22
638,il,2021-01-08,75.3963,12926.0218,33
639,in,2021-01-08,68.4487,6948.0,49
640,ks,2021-01-08,72.5238,3366.9856,28
641,ky,2021-01-08,69.0302,4541.9535,49
642,la,2021-01-08,62.974,4749.3666,45
643,ma,2021-01-08,81.8782,6127.018,12
644,md,2021-01-08,78.9436,4930.9894,23
645,me,2021-01-08,77.21,2318.0,36
646,mi,2021-01-08,72.9183,12308.0252,100
647,mn,2021-01-08,78.9766,4921.8228,36
648,mo,2021-01-08,69.3198,5695.076,41
649,ms,2021-01-08,60.0703,3075.0929,30
650,mt,2021-01-08,69.5055,1528.5419,83
651,nc,2021-01-08,70.3048,11447.01,54
652,nd,2021-01-08,69.6376,751.547,42
653,ne,2021-01-08,76.1306,2155.6122,43
654,nh,2021-01-08,79.505,2080.0,26
655,nj,2021-01-08,77.1481,6818.9978,36
656,nm,2021-01-08,75.3919,2114.6373,68
657,nv,2021-01-08,72.5785,2410.258,37
658,ny,2021-01-08,75.2187,15658.0018,24
659,oh,2021-01-08,68.176,12488.0057,36
660,ok,2021-01-08,67.5613,4774.1956,100
661,or,2021-01-08,75.6011,4681.604,39
662,pa,2021-01-08,72.3097,13594.0085,35
663,ri,2021-01-08,79.3537,1313.982,29
664,sc,2021-01-08,65.7326,6762.006,32
665,sd,2021-01-08,72.2684,1088.9436,27
666,tn,2021-01-08,67.4919,7225.0387,55
667,tx,2021-01-08,70.4312,22329.9066,63
668,us,2021-01-08,72.8896,312862.4579,57
669,ut,2021-01-08,74.9671,3160.8671,34
670,va,2021-01-08,74.7146,8946.1244,36
671,vt,2021-01-08,82.8316,1062.0012,15
672,wa,2021-01-08,80.2669,7900.5669,25
673,wi,2021-01-08,75.7096,5916.9695,38
674,wv,2021-01-08,67.6628,2833.2087,58
675,wy,2021-01-08,59.9063,718.3979,15
676,ak,2021-01-09,69.7059,849.0,36
677,al,2021-01-09,62.5183,4840.1246,46
678,ar,2021-01-09,66.8157,3172.7596,43
679,az,2021-01-09,73.7193,6516.2885,37
680,ca,2021-01-09,79.0355,28702.4771,32
681,co,2021-01-09,77.9771,5317.9171,42
682,ct,2021-01-09,81.3656,4488.0,27
683,dc,2021-01-09,88.8528,461.0,44
684,de,2021-01-09,75.7316,1332.0073,10
685,fl,2021-01-09,70.4587,18920.0015,50
686,ga,2021-01-09,64.5069,7229.9126,40
687,hi,2021-01-09,74.2622,1151.0,39
688,ia,2021-01-09,75.0118,3972.9576,19
689,id,2021-01-09,66.1661,2073.9346,44
690,il,2021-01-09,75.4686,12532.0229,24
691,in,2021-01-09,68.4636,6742.0005,39
692,ks,2021-01-09,73.1494,3293.1487,30
693,ky,2021-01-09,69.0163,4426.9572,43
694,la,2021-01-09,62.5167,4611.3663,30
695,ma,2021-01-09,81.7489,5974.016,8
696,md,2021-01-09,78.4594,4782.9893,27
697,me,2021-01-09,76.7755,2266.0,27
698,mi,2021-01-09,72.5536,12006.0434,56
699,mn,2021-01-09,78.7278,4767.0731,25
700,mo,2021-01-09,69.3585,5588.0957,38
701,ms,2021-01-09,60.5698,2966.8776,33
702,mt,2021-01-09,68.6504,1495.5066,40
703,nc,2021-01-09,70.4368,11126.0103,43
704,nd,2021-01-09,69.7006,711.7642,32
705,ne,2021-01-09,76.7755,2047.7107,74
706,nh,2021-01-09,79.6572,2012.0,33
707,nj,2021-01-09,77.1905,6572.9978,25
708,nm,2021-01-09,75.82,2196.3648,51
709,nv,2021-01-09,72.1252,2360.2454,30
710,ny,2021-01-09,75.2416,15212.0005,29
711,oh,2021-01-09,68.3852,12093.0045,28
712,ok,2021-01-09,66.9099,4568.3809,44
713,or,2021-01-09,75.1371,4562.0399,45
714,pa,2021-01-09,72.5182,13195.0076,31
715,ri,2021-01-09,79.6444,1263.984,15
716,sc,2021-01-09,66.2172,6563.0052,33
717,sd,2021-01-09,71.8957,1061.2933,35
718,tn,2021-01-09,67.4058,6939.037,62
719,tx,2021-01-09,70.516,21688.6625,64
720,us,2021-01-09,72.8877,304316.0572,48
721,ut,2021-01-09,74.4692,3020.8575,43
722,va,2021-01-09,75.1272,8731.9814,46
723,vt,2021-01-09,82.5,1019.0013,24
724,wa,2021-01-09,80.2225,7630.6932,26
725,wi,2021-01-09,75.0212,5837.9521,30
726,wv,2021-01-09,66.9658,2746.1586,70
727,wy,2021-01-09,60.3734,676.4267,14
728,ak,2021-01-10,68.3797,826.0,43
729,al,2021-01-10,62.824,4670.1164,24
730,ar,2021-01-10,66.0947,3072.8324,37
731,az,2021-01-10,73.6262,6374.4127,36
732,ca,2021-01-10,79.0915,28114.4836,28
733,co,2021-01-10,78.231,5177.9755,42
734,ct,2021-01-10,81.5947,4332.0,30
735,dc,2021-01-10,88.5045,447.0,39
736,de,2021-01-10,76.1036,1290.0219,38
737,fl,2021-01-10,70.2369,18359.0012,51
738,ga,2021-01-10,64.4245,7097.9101,43
739,hi,2021-01-10,75.3591,1113.0,44
740,ia,2021-01-10,74.5621,3821.3248,15
741,id,2021-01-10,66.7255,2007.4907,43
742,il,2021-01-10,75.3433,12083.0234,21
743,in,2021-01-10,68.2346,6451.0004,33
744,ks,2021-01-10,73.458,3207.1195,17
745,ky,2021-01-10,68.829,4291.2636,32
746,la,2021-01-10,62.1332,4390.3664,29
747,ma,2021-01-10,81.8032,5783.0145,10
748,md,2021-01-10,78.6497,4656.9752,27
749,me,2021-01-10,77.4954,2183.0,34
750,mi,2021-01-10,72.6694,11508.0613,67
751,mn,2021-01-10,79.1858,4574.1141,24
752,mo,2021-01-10,68.9576,5341.9546,31
753,ms,2021-01-10,60.6827,2856.2478,20
754,mt,2021-01-10,68.7853,1447.479,51
755,nc,2021-01-10,70.4717,10726.0114,34
756,nd,2021-01-10,70.3468,656.9099,0
757,ne,2021-01-10,77.471,1977.8014,32
758,nh,2021-01-10,79.1434,1972.0,13
759,nj,2021-01-10,77.1951,6319.998,25
760,nm,2021-01-10,75.9339,2312.0043,37
761,nv,2021-01-10,71.3484,2326.6926,20
762,ny,2021-01-10,75.0523,14819.9999,36
763,oh,2021-01-10,68.7537,11730.0042,23
764,ok,2021-01-10,66.7729,4348.6237,52
765,or,2021-01-10,75.3984,4456.0431,27
766,pa,2021-01-10,72.5595,12763.0077,26
767,ri,2021-01-10,80.2556,1211.9855,26
768,sc,2021-01-10,66.5651,6404.0046,21
769,sd,2021-01-10,71.7509,997.7914,37
770,tn,2021-01-10,67.0803,6654.719,55
771,tx,2021-01-10,70.5586,20941.4104,49
772,us,2021-01-10,72.9407,294826.8503,43
773,ut,2021-01-10,74.2845,2933.0421,26
774,va,2021-01-10,75.8375,8438.3763,49
775,vt,2021-01-10,82.876,983.0014,31
776,wa,2021-01-10,80.363,7430.6891,23
777,wi,2021-01-10,75.568,5673.9349,34
778,wv,2021-01-10,66.65,2609.2082,52
779,wy,2021-01-10,60.8961,662.4021,15
780,ak,2021-01-11,66.1669,766.0,33
781,al,2021-01-11,62.726,4537.1117,41
782,ar,2021-01-11,66.3301,2942.8266,49
783,az,2021-01-11,73.5355,6270.7666,80
784,ca,2021-01-11,79.3217,27518.3608,37
785,co,2021-01-11,78.1711,5062.9742,50
786,ct,2021-01-11,81.6152,4141.0,44
787,dc,2021-01-11,88.1222,441.0,74
788,de,2021-01-11,76.2849,1283.0219,24
789,fl,2021-01-11,70.435,17677.0005,74
790,ga,2021-01-11,64.5491,6995.9191,79
791,hi,2021-01-11,75.0234,1066.0,45
792,ia,2021-01-11,74.9923,3671.1107,39
793,id,2021-01-11,66.4359,1927.1899,46
794,il,2021-01-11,75.3262,11649.0023,29
795,in,2021-01-11,68.4198,6302.0029,46
796,ks,2021-01-11,73.0141,3132.1187,40
797,ky,2021-01-11,68.3088,4236.5765,48
798,la,2021-01-11,62.3501,4240.3674,46
799,ma,2021-01-11,81.7449,5644.016,12
800,md,2021-01-11,78.5903,4559.9753,39
801,me,2021-01-11,77.9335,2104.0,40
802,mi,2021-01-11,72.7441,11147.0443,90
803,mn,2021-01-11,79.2678,4485.9362,30
804,mo,2021-01-11,68.4371,5181.0748,33
805,ms,2021-01-11,61.6842,2703.4158,23
806,mt,2021-01-11,69.4145,1382.4606,18
807,nc,2021-01-11,70.7304,10445.0132,48
808,nd,2021-01-11,69.0308,622.9069,41
809,ne,2021-01-11,77.6109,1942.3955,61
810,nh,2021-01-11,79.0814,1904.0,17
811,nj,2021-01-11,77.4201,6134.9981,25
812,nm,2021-01-11,76.556,2448.6509,58
813,nv,2021-01-11,71.0297,2283.8153,39
814,ny,2021-01-11,75.2446,14511.0004,74
815,oh,2021-01-11,68.7072,11377.0019,35
816,ok,2021-01-11,65.9871,4224.6239,56
817,or,2021-01-11,75.6462,4333.0483,29
818,pa,2021-01-11,72.588,12240.0068,38
819,ri,2021-01-11,79.8521,1147.984,19
820,sc,2021-01-11,66.8398,6255.003,52
821,sd,2021-01-11,71.1756,931.5231,34
822,tn,2021-01-11,67.2821,6405.4057,74
823,tx,2021-01-11,70.5073,20179.41,65
824,us,2021-01-11,73.0245,286468.083,66
825,ut,2021-01-11,74.0456,2828.9865,54
826,va,2021-01-11,75.7656,8249.4342,61
827,vt,2021-01-11,82.9332,957.0014,36
828,wa,2021-01-11,80.6719,7332.8185,23
829,wi,2021-01-11,75.8943,5476.9527,41
830,wv,2021-01-11,66.304,2508.2081,53
831,wy,2021-01-11,63.9147,659.6218,14
832,ak,2021-01-12,66.3699,729.0,46
833,al,2021-01-12,62.4689,4410.1134,38
834,ar,2021-01-12,67.0201,2853.939,90
835,az,2021-01-12,73.5612,6069.0969,73
836,ca,2021-01-12,79.4336,26885.2321,58
837,co,2021-01-12,78.1274,4878.9715,81
838,ct,2021-01-12,81.435,4020.0,60
839,dc,2021-01-12,86.7816,434.0,65
840,de,2021-01-12,75.9717,1208.0219,39
841,fl,2021-01-12,70.597,17033.0001,81
842,ga,2021-01-12,64.8304,7014.9238,71
843,hi,2021-01-12,75.1701,1028.0,54
844,ia,2021-01-12,74.9021,3566.2219,35
845,id,2021-01-12,66.5857,1852.0362,36
846,il,2021-01-12,75.1798,11262.0023,42
847,in,2021-01-12,68.7059,6104.0021,46
848,ks,2021-01-12,72.9893,3044.0896,53
849,ky,2021-01-12,68.1566,4044.5748,59
850,la,2021-01-12,62.5169,4098.1823,49
851,ma,2021-01-12,81.5779,5430.015,17
852,md,2021-01-12,78.2017,4441.9753,51
853,me,2021-01-12,78.2813,2018.0,41
854,mi,2021-01-12,72.6207,10779.0428,82
855,mn,2021-01-12,79.4658,4337.5504,34
856,mo,2021-01-12,68.7314,5041.1479,53
857,ms,2021-01-12,61.132,2614.6772,49
858,mt,2021-01-12,69.9825,1325.5295,73
859,nc,2021-01-12,70.8485,10158.0124,65
860,nd,2021-01-12,69.0624,603.9831,28
861,ne,2021-01-12,76.9496,1899.3569,75
862,nh,2021-01-12,80.1247,1843.0,27
863,nj,2021-01-12,77.1191,5944.9982,38
864,nm,2021-01-12,76.5354,2569.7978,92
865,nv,2021-01-12,71.2872,2185.9439,59
866,ny,2021-01-12,75.1459,14047.0003,87
867,oh,2021-01-12,68.7059,11041.002,37
868,ok,2021-01-12,66.4672,4034.6236,58
869,or,2021-01-12,75.8421,4215.0458,52
870,pa,2021-01-12,72.8976,11819.0062,46
871,ri,2021-01-12,79.0836,1100.985,22
872,sc,2021-01-12,67.1824,6107.0032,57
873,sd,2021-01-12,70.5017,894.7419,46
874,tn,2021-01-12,66.8359,6146.4079,88
875,tx,2021-01-12,70.6938,19444.5181,75
876,us,2021-01-12,73.0675,277756.3257,85
877,ut,2021-01-12,74.2563,2747.4007,59
878,va,2021-01-12,75.4612,8020.3632,49
879,vt,2021-01-12,82.5879,938.0017,60
880,wa,2021-01-12,80.3676,7152.9558,33
881,wi,2021-01-12,75.8899,5334.9531,37
882,wv,2021-01-12,67.1995,2351.2568,45
883,wy,2021-01-12,62.8507,632.6221,71
884,ak,2021-01-13,68.291,707.0,34
885,al,2021-01-13,63.0366,4310.0974,57
886,ar,2021-01-13,66.9159,2841.9456,93
887,az,2021-01-13,73.8554,6010.8041,65
888,ca,2021-01-13,79.7592,26937.2581,73
889,co,2021-01-13,78.0535,4816.9713,69
890,ct,2021-01-13,81.7386,3939.0,82
891,dc,2021-01-13,87.2271,457.0,67
892,de,2021-01-13,76.5963,1189.0146,41
893,fl,2021-01-13,70.5932,17024.0003,98
894,ga,2021-01-13,64.7188,7040.9415,69
895,hi,2021-01-13,75.9981,1026.0,62
896,ia,2021-01-13,75.6133,3506.0839,37
897,id,2021-01-13,66.4231,1840.0561,67
898,il,2021-01-13,75.7907,11191.0023,46
899,in,2021-01-13,68.7083,5999.0028,100
900,ks,2021-01-13,73.1842,2984.1765,55
901,ky,2021-01-13,68.5612,4036.1955,70
902,la,2021-01-13,62.7881,4058.1828,54
903,ma,2021-01-13,81.6568,5437.0145,18
904,md,2021-01-13,77.7915,4467.983,49
905,me,2021-01-13,78.5389,1977.0,72
906,mi,2021-01-13,73.0503,10795.043,90
907,mn,2021-01-13,79.8927,4300.6162,46
908,mo,2021-01-13,68.8335,5006.066,56
909,ms,2021-01-13,61.4077,2581.0824,100
910,mt,2021-01-13,70.268,1294.4589,64
911,nc,2021-01-13,71.1559,10138.0131,54
912,nd,2021-01-13,68.8728,608.5779,100
913,ne,2021-01-13,77.2032,1882.3047,67
914,nh,2021-01-13,79.6569,1835.0,25
915,nj,2021-01-13,76.8429,5899.9983,52
916,nm,2021-01-13,76.6484,2590.7997,87
917,nv,2021-01-13,71.0311,2170.0648,68
918,ny,2021-01-13,74.7009,13958.0001,76
919,oh,2021-01-13,69.1671,10937.0027,45
920,ok,2021-01-13,66.4028,3940.5663,47
921,or,2021-01-13,76.9382,4124.8999,50
922,pa,2021-01-13,73.1254,11748.0063,55
923,ri,2021-01-13,80.0658,1064.9855,30
924,sc,2021-01-13,67.4729,6097.0034,100
925,sd,2021-01-13,71.2751,874.3528,61
926,tn,2021-01-13,66.8838,6076.7859,94
927,tx,2021-01-13,71.068,19184.5171,84
928,us,2021-01-13,73.2894,275770.5884,89
929,ut,2021-01-13,74.8351,2707.6983,100
930,va,2021-01-13,75.739,7928.165,64
931,vt,2021-01-13,82.4064,934.0016,45
932,wa,2021-01-13,80.5846,7062.9537,35
933,wi,2021-01-13,76.2033,5295.9537,48
934,wv,2021-01-13,66.9348,2317.3056,71
935,wy,2021-01-13,62.3945,619.6352,100
936,ak,2021-01-14,68.4783,689.0,40
937,al,2021-01-14,63.3993,4309.0968,53
938,ar,2021-01-14,67.2485,2867.7413,95
939,az,2021-01-14,74.4908,6015.5118,85
940,ca,2021-01-14,80.1322,27045.333,100
941,co,2021-01-14,78.1344,4834.6517,86
942,ct,2021-01-14,82.3432,3938.0,89
943,dc,2021-01-14,87.2172,441.0,100
944,de,2021-01-14,76.9321,1241.0146,46
945,fl,2021-01-14,70.8121,17066.0003,87
946,ga,2021-01-14,64.6886,6983.9411,84
947,hi,2021-01-14,77.7943,1010.0,100
948,ia,2021-01-14,75.8097,3551.0486,50
949,id,2021-01-14,66.9611,1873.0659,62
950,il,2021-01-14,75.9537,11271.0016,51
951,in,2021-01-14,69.1336,6059.0041,87
952,ks,2021-01-14,72.8266,2989.0597,54
953,ky,2021-01-14,68.4775,4057.1999,83
954,la,2021-01-14,62.5127,4044.3678,54
955,ma,2021-01-14,82.1633,5412.0165,13
956,md,2021-01-14,78.3962,4481.9831,53
957,me,2021-01-14,78.9755,1961.0,41
958,mi,2021-01-14,72.925,10926.0621,95
959,mn,2021-01-14,80.4018,4320.5603,45
960,mo,2021-01-14,69.1992,5033.086,67
961,ms,2021-01-14,61.179,2586.5702,40
962,mt,2021-01-14,70.9645,1291.6471,97
963,nc,2021-01-14,71.3941,10142.0128,95
964,nd,2021-01-14,69.4968,627.6066,35
965,ne,2021-01-14,77.5297,1909.3502,53
966,nh,2021-01-14,80.1031,1841.0,25
967,nj,2021-01-14,77.4666,5907.9983,86
968,nm,2021-01-14,77.2292,2613.1246,100
969,nv,2021-01-14,70.6974,2158.9901,100
970,ny,2021-01-14,74.7494,14067.9999,71
971,oh,2021-01-14,69.4432,10954.0019,57
972,ok,2021-01-14,67.1124,3929.0534,62
973,or,2021-01-14,77.2863,4130.8969,49
974,pa,2021-01-14,73.7423,11826.0066,57
975,ri,2021-01-14,81.3072,1092.9835,22
976,sc,2021-01-14,67.7059,6141.0034,63
977,sd,2021-01-14,70.66,869.2785,45
978,tn,2021-01-14,67.5182,6010.7715,86
979,tx,2021-01-14,71.2043,19205.029,85
980,us,2021-01-14,73.5734,276716.5056,100
981,ut,2021-01-14,75.8201,2685.6984,71
982,va,2021-01-14,76.0505,8050.6496,100
983,vt,2021-01-14,82.8342,934.0015,45
984,wa,2021-01-14,80.5504,7065.956,41
985,wi,2021-01-14,76.2359,5357.9388,55
986,wv,2021-01-14,66.9231,2286.2554,100
987,wy,2021-01-14,63.2682,609.9352,58
988,ak,2021-01-15,67.9856,694.0,48
989,al,2021-01-15,63.7425,4245.0949,49
990,ar,2021-01-15,67.2819,2873.7486,87
991,az,2021-01-15,74.6625,5943.2196,61
992,ca,2021-01-15,80.4431,26815.7086,82
993,co,2021-01-15,78.8888,4803.7455,77
994,ct,2021-01-15,82.8897,3906.0,77
995,dc,2021-01-15,87.4424,433.0,93
996,de,2021-01-15,76.9576,1212.0146,36
997,fl,2021-01-15,71.2373,16915.0006,80
998,ga,2021-01-15,64.927,6982.937,100
999,hi,2021-01-15,77.6477,981.0,76
1000,ia,2021-01-15,76.0929,3547.1598,37
1001,id,2021-01-15,67.9711,1821.7075,58
1002,il,2021-01-15,76.2966,11240.0013,47
1003,in,2021-01-15,70.0418,5979.0047,65
1004,ks,2021-01-15,73.0004,2923.1164,65
1005,ky,2021-01-15,68.387,4049.9713,81
1006,la,2021-01-15,62.666,3999.3676,43
1007,ma,2021-01-15,82.7406,5454.016,15
1008,md,2021-01-15,78.761,4445.9832,75
1009,me,2021-01-15,78.6814,1948.0,50
1010,mi,2021-01-15,73.5613,10841.0633,91
1011,mn,2021-01-15,80.8729,4251.0005,54
1012,mo,2021-01-15,69.1748,5029.0798,88
1013,ms,2021-01-15,61.0742,2558.6709,45
1014,mt,2021-01-15,71.8135,1269.3784,48
1015,nc,2021-01-15,71.355,9999.0124,100
1016,nd,2021-01-15,68.3778,615.6441,34
1017,ne,2021-01-15,77.6121,1885.4169,43
1018,nh,2021-01-15,79.5744,1808.0,43
1019,nj,2021-01-15,77.64,5926.9983,75
1020,nm,2021-01-15,77.2023,2608.359,80
1021,nv,2021-01-15,71.2384,2110.17,85
1022,ny,2021-01-15,75.4553,13947.0003,69
1023,oh,2021-01-15,70.0894,10960.0035,70
1024,ok,2021-01-15,67.6992,3888.9957,54
1025,or,2021-01-15,78.1063,4148.6138,52
1026,pa,2021-01-15,74.09,11757.0067,53
1027,ri,2021-01-15,82.4301,1105.984,15
1028,sc,2021-01-15,68.022,6086.0035,69
1029,sd,2021-01-15,71.8947,866.8652,65
1030,tn,2021-01-15,67.3399,5888.0117,65
1031,tx,2021-01-15,71.4652,18911.0274,82
1032,us,2021-01-15,73.9145,274582.4585,92
1033,ut,2021-01-15,76.4488,2638.6597,65
1034,va,2021-01-15,76.3246,8039.4913,94
1035,vt,2021-01-15,81.2837,926.0018,60
1036,wa,2021-01-15,80.7073,7081.9573,31
1037,wi,2021-01-15,76.0194,5367.9396,61
1038,wv,2021-01-15,67.5003,2262.2545,82
1039,wy,2021-01-15,64.2125,590.0517,44
1040,ak,2021-01-16,67.9094,683.0,52
1041,al,2021-01-16,63.5326,4163.0808,37
1042,ar,2021-01-16,66.9123,2877.6754,57
1043,az,2021-01-16,74.4004,5831.5628,59
1044,ca,2021-01-16,80.53,26463.1973,68
1045,co,2021-01-16,79.4733,4789.837,63
1046,ct,2021-01-16,83.1086,3856.0,59
1047,dc,2021-01-16,87.9108,425.0,80
1048,de,2021-01-16,77.7549,1224.0219,32
1049,fl,2021-01-16,71.4877,16804.0005,62
1050,ga,2021-01-16,64.5919,6882.9445,72
1051,hi,2021-01-16,78.6674,967.0,49
1052,ia,2021-01-16,76.6458,3515.1158,21
1053,id,2021-01-16,68.709,1848.6793,58
1054,il,2021-01-16,76.7272,11130.0002,40
1055,in,2021-01-16,70.1336,5984.0038,49
1056,ks,2021-01-16,73.2521,2902.1456,28
1057,ky,2021-01-16,68.543,4038.2729,73
1058,la,2021-01-16,62.9269,3984.3679,31
1059,ma,2021-01-16,83.063,5363.018,12
1060,md,2021-01-16,79.2683,4467.9758,53
1061,me,2021-01-16,78.764,1965.0,27
1062,mi,2021-01-16,73.8863,10773.0626,58
1063,mn,2021-01-16,81.3605,4271.0342,46
1064,mo,2021-01-16,69.1746,4961.1525,51
1065,ms,2021-01-16,61.4252,2571.6865,31
1066,mt,2021-01-16,72.3915,1271.6909,61
1067,nc,2021-01-16,71.8439,9956.0121,65
1068,nd,2021-01-16,69.0423,637.2328,26
1069,ne,2021-01-16,77.4724,1891.3135,51
1070,nh,2021-01-16,80.082,1829.0,21
1071,nj,2021-01-16,78.1271,5866.9982,53
1072,nm,2021-01-16,76.5993,2416.9283,67
1073,nv,2021-01-16,70.9789,2060.1106,52
1074,ny,2021-01-16,75.5321,13860.001,59
1075,oh,2021-01-16,70.3637,10886.0039,53
1076,ok,2021-01-16,68.2849,3922.9966,43
1077,or,2021-01-16,78.4133,4087.1789,50
1078,pa,2021-01-16,74.166,11660.0071,40
1079,ri,2021-01-16,81.7728,1098.982,29
1080,sc,2021-01-16,68.1514,6117.0032,45
1081,sd,2021-01-16,72.6907,838.0868,28
1082,tn,2021-01-16,67.775,5852.6979,62
1083,tx,2021-01-16,71.4236,18649.0251,74
1084,us,2021-01-16,74.1056,272448.4791,75
1085,ut,2021-01-16,77.1998,2646.6621,59
1086,va,2021-01-16,76.327,8013.5189,70
1087,vt,2021-01-16,80.7692,922.0013,15
1088,wa,2021-01-16,80.7115,7067.9635,35
1089,wi,2021-01-16,76.7046,5336.9381,60
1090,wv,2021-01-16,68.0488,2232.2549,73
1091,wy,2021-01-16,65.2714,585.0361,74
1092,ak,2021-01-17,68.7685,673.0,30
1093,al,2021-01-17,64.2308,4166.0878,25
1094,ar,2021-01-17,67.6718,2849.417,36
1095,az,2021-01-17,74.7029,5752.5003,48
1096,ca,2021-01-17,80.6368,26077.1876,56
1097,co,2021-01-17,79.2404,4687.7775,47
1098,ct,2021-01-17,82.9874,3805.0,42
1099,dc,2021-01-17,88.1733,426.0,51
1100,de,2021-01-17,77.8103,1200.0073,31
1101,fl,2021-01-17,71.8185,16650.0007,56
1102,ga,2021-01-17,64.84,6777.942,69
1103,hi,2021-01-17,78.035,971.0,59
1104,ia,2021-01-17,76.5816,3484.1341,26
1105,id,2021-01-17,67.9462,1798.3962,43
1106,il,2021-01-17,76.7321,11055.0,29
1107,in,2021-01-17,70.2337,5947.0035,45
1108,ks,2021-01-17,73.4084,2810.1456,30
1109,ky,2021-01-17,68.9404,4025.5822,64
1110,la,2021-01-17,62.8296,3968.5529,31
1111,ma,2021-01-17,83.5217,5306.021,12
1112,md,2021-01-17,79.3696,4392.9905,38
1113,me,2021-01-17,78.5714,1980.0,33
1114,mi,2021-01-17,73.5153,10641.0453,46
1115,mn,2021-01-17,81.3464,4284.1164,30
1116,mo,2021-01-17,69.4665,4992.2196,61
1117,ms,2021-01-17,61.319,2566.3575,33
1118,mt,2021-01-17,72.8828,1239.466,49
1119,nc,2021-01-17,71.995,9924.011,52
1120,nd,2021-01-17,68.0073,632.6138,30
1121,ne,2021-01-17,77.7298,1859.3169,42
1122,nh,2021-01-17,80.4144,1809.0,26
1123,nj,2021-01-17,78.1534,5841.9979,44
1124,nm,2021-01-17,76.7487,2233.236,46
1125,nv,2021-01-17,71.7965,2006.3933,47
1126,ny,2021-01-17,76.0532,13648.0011,42
1127,oh,2021-01-17,70.4562,10761.0041,32
1128,ok,2021-01-17,67.833,3842.9972,23
1129,or,2021-01-17,78.4267,4071.1798,49
1130,pa,2021-01-17,74.6487,11456.007,37
1131,ri,2021-01-17,82.3828,1085.979,10
1132,sc,2021-01-17,68.1527,6089.0026,52
1133,sd,2021-01-17,73.2438,839.8364,29
1134,tn,2021-01-17,68.3502,5826.3979,59
1135,tx,2021-01-17,71.4818,18375.0248,49
1136,us,2021-01-17,74.2298,269584.6753,59
1137,ut,2021-01-17,77.1104,2614.487,37
1138,va,2021-01-17,76.2285,8114.0803,46
1139,vt,2021-01-17,81.4795,925.0012,43
1140,wa,2021-01-17,80.6202,7044.9632,38
1141,wi,2021-01-17,76.461,5268.9556,35
